Taxar,ID_analysis,Provyteareal,Both Pine cover,Pine_proportion,Birch cover,Aspen cover,Rowan cover,Salix cover ,Oak,RASE_proportion,RASE cover,RASE presence,NordKoordinat,OstKoordinat,Forest_class,HuggnKlass,ViktﾄlgSpillh,Moose pellet groups,Moose presence ,Wolf territory,Time since establishment,Small,Small roads,Big roads,Pellet counts,Inventetad 舁gspillningarea m2,Viktad舁gspillniningsAreal(ha)
2006,2.00631E+11,153.94,2,0.012992075,2,2,3,0,0,0.032480187,5,1,6765081,555272,3,31,0,0,0,1,4,0.0106,10.63829825,3828.234079,0,38.48,3164.45914
2005,2.0053E+11,153.94,0,0,0,0,0,0,0,0,0,0,6671867,371481,3,31,0,0,0,1,1,0.0107,10.7169238,1293.945011,0,38.48,3060.892231
2013,2.0133E+11,153.94,2,0.012992075,2,0,0,0,0,0,0,0,6743580,468288,4,42,0,0,0,0,0,0.0107,10.72724788,5527.522979,0,38.48,2522.544023
2004,2.0043E+11,153.94,0,0,0,0,0,0,0,0,0,0,6719162,479350,3,31,0,0,0,0,0,0.0108,10.7523752,642.669955,0,38.48,2763.499388
2014,2.0143E+11,122.55,1,0.008159935,1,0,0,0,0,0,0,0,6888889,609242,4,42,0,0,0,0,0,0.0108,10.78270974,217.385655,0,38.36,2968.695237
2015,2.01531E+11,153.94,2,0.012992075,1,0,2,1,0,0.019488112,3,1,6579684,366728,3,33,0,0,0,1,3,0.011,10.96544677,2733.097208,0,38.48,2529.942305
2008,2.0083E+11,153.94,5,0.032480187,3,0,2,2,0,0.02598415,4,1,6802246,472035,2,21,0,0,0,1,3,0.011,11.01118272,77.605966,0,38.48,4429.726961
2008,2.00841E+11,153.94,3,0.019488112,3,0,2,0,0,0.012992075,2,1,6387019,359672,4,42,0,0,0,0,0,0.011,11.03771027,139.526317,0,38.48,2367.57614
2003,2.00331E+11,153.94,0,0,2,0,2,0,0,0.012992075,2,1,6794170,603891,4,41,0,0,0,0,0,0.0112,11.18159989,1809.208501,0,38.48,3633.267901
2012,2.01231E+11,153.94,14.5,0.094192543,14,0,0.5,0.5,0,0.006496037,1,1,6793312,436670,3,31,0,0,0,0,0,0.0113,11.33055437,66.670384,0,38.48,2896.359936
2008,2.0083E+11,153.94,2,0.012992075,2,0,2,0,0,0.012992075,2,1,6784650,585210,3,31,0,0,0,1,4,0.0113,11.34430571,3072.773873,0,38.48,2559.084348
2012,2.0123E+11,153.94,1,0.006496037,0.5,0,0.5,0.5,0,0.006496037,1,1,6694483,446880,1,11,0,0,0,1,7,0.0115,11.49654217,4733.653244,0,38.48,2896.359936
2004,2.00441E+11,153.94,0,0,0,0,0,0,0,0,0,0,6464951,407318,4,42,0,0,0,0,0,0.0115,11.5461186,871.969614,0,38.48,3095.522807
2013,2.01341E+11,153.94,12,0.077952449,10,0,0.5,2,0,0.016240094,2.5,1,6523416,478995,3,31,0,0,0,1,1,0.0116,11.57386473,4274.45871,0,38.48,3077.771861
2016,2.01631E+11,153.94,3.1,0.020137716,3,0,0.1,0.1,0,0.001299207,0.2,1,6659891,411761,2,22,673449.5734,1,1,1,14,0.0118,11.75028445,2588.576976,1,38.48,2591.433958
2014,2.01441E+11,153.94,0,0,0,0,0,0,0,0,0,0,6450628,347106,3,31,0,0,0,0,0,0.0119,11.93382708,235.622471,0,38.48,2792.327371
2006,2.0063E+11,153.94,2,0.012992075,2,0,2,0,0,0.012992075,2,1,6719266,609817,4,42,0,0,0,0,0,0.012,11.95985356,472.402242,0,38.48,3160.8125
2013,2.01342E+11,153.94,0.5,0.003248019,0.5,0,16,0,4,0.129920748,20,1,6437908,363540,4,42,0,0,0,0,0,0.012,11.97265147,122.237122,0,38.48,3613.600127
2004,2.00441E+11,153.94,8,0.051968299,8,2,0,0,2,0.02598415,4,1,6469481,353287,4,41,0,0,0,0,0,0.012,11.99333191,2149.035206,0,38.48,3095.522807
2008,2.00841E+11,153.94,5,0.032480187,2,0,3,3,0,0.038976225,6,1,6406654,397421,3,31,0,0,0,0,0,0.012,12.0001643,1401.552501,0,38.48,2367.57614
2008,2.00842E+11,153.94,0,0,0,0,0,0,0,0,0,0,6621413,467203,4,41,0,0,0,1,3,0.012,12.01591275,2606.059628,0,38.48,3590.269767
2003,2.00331E+11,153.94,12,0.077952449,8,0,2,2,0,0.02598415,4,1,6768199,524242,2,23,815416.6486,1,1,0,0,0.012,12.02359678,2263.132565,1,38.48,3137.723264
2011,2.01141E+11,153.94,1,0.006496037,0.5,0.5,0.5,0.5,0.5,0.012992075,2,1,6495232,415950,4,42,0,0,0,0,0,0.0121,12.10999111,2522.18039,0,38.48,2247.704459
2003,2.00331E+11,125.59,0,0,0.5,0,0.5,4,0,0.0002853,0.035830878,1,6748370,415016,3,33,0,0,0,0,0,0.0121,12.11264928,1045.721202,0,38.32,3124.676598
2013,2.01341E+11,153.94,30,0.194881123,22,0,2,8,0,0.064960374,10,1,6523816,478595,2,22,0,0,0,1,1,0.0121,12.1301244,4510.768663,0,38.48,3077.771861
2004,2.00441E+11,153.94,5,0.032480187,5,0,0,0,0,0,0,0,6488060,400644,2,21,0,0,0,0,0,0.0121,12.13406412,292.391165,0,38.48,3095.522807
2014,2.0143E+11,153.94,39,0.253345459,38,0,0,1,0,0.006496037,1,1,6866356,517506,2,23,1547807.736,2,1,1,6,0.0122,12.19108954,2859.564977,2,38.48,2977.982083
2008,2.00851E+11,153.94,5,0.032480187,5,0,0,0,0,0,0,0,6461266,308263,4,41,0,0,0,0,0,0.0122,12.22962414,569.161752,0,38.48,2360.087089
2011,2.0113E+11,153.94,14.5,0.094192543,14,0,0.5,0.5,0,0.006496037,1,1,6708244,551161,2,21,0,0,0,0,0,0.0122,12.23744579,510.255814,0,38.48,3073.688095
